Title	TitleShort	ISSN	EISSN	Parent	Format	Field	Locale
Parasitology Research	Parasitol Res	0932-0113	1432-1955	springer-basic-author-date	author-date	science	en-US
Molecular Genetics and Genomics	Mol Genet Genomics	1617-4615	1617-4623	springer-basic-author-date	author-date	science	en-US
Human Genetics	Hum Genet	0340-6717	1432-1203	springer-basic-author-date	author-date	science	en-US
Probability Theory and Related Fields	Probab. Theory Relat. Fields	0178-8051	1432-2064	springer-mathphys-brackets	numeric	science	en-US
Cell and Tissue Research	Cell Tissue Res	0302-766X	1432-0878	springer-basic-author-date	author-date	science	en-US
Oecologia	Oecologia	0029-8549	1432-1939	springer-basic-author-date	author-date	science	en-US
Bulletin of Volcanology	Bull Volcanol	0258-8900	1432-0819	springer-basic-author-date	author-date	science	en-US
Distributed Computing	Distrib. Comput.	0178-2770	1432-0452	springer-mathphys-brackets	numeric	science	en-US
Bioprocess and Biosystems Engineering	Bioprocess Biosyst Eng	1615-7591	1615-7605	springer-basic-brackets	numeric	science	en-US
Computer Science - Research and Development	Comput Sci Res Dev	1865-2034	1865-2042	springer-basic-brackets	numeric	science	en-US
Forum der Psychoanalyse (German)	Forum Psychoanal	0178-7667	1437-0751	springer-basic-author-date	author-date	science	de-DE
Algorithmica	Algorithmica	0178-4617	1432-0541	springer-mathphys-brackets	numeric	science	en-US
Discrete & Computational Geometry	Discrete Comput Geom	0179-5376	1432-0444	springer-mathphys-brackets	numeric	science	en-US
Dysphagia	Dysphagia	0179-051X	1432-0460	springer-vancouver-brackets	numeric	medicine	en-US
Surgical Endoscopy	Surg Endosc	0930-2794	1432-2218	springer-basic-brackets	numeric	science	en-US
Computational Mechanics	Comput Mech	0178-7675	1432-0924	springer-basic-brackets	numeric	science	en-US
Pediatric Nephrology	Pediatr Nephrol	0931-041X	1432-198X	springer-basic-brackets	numeric	science	en-US
Trees	Trees	0931-1890	1432-2285	springer-basic-author-date	author-date	science	en-US
Stochastic Environmental Research and Risk Assessment	Stoch Environ Res Risk Assess	1436-3240	1436-3259	springer-basic-author-date	author-date	science	en-US
Ethik in der Medizin (German)	Ethik Med	0935-7335	1437-1618	springer-basic-brackets	numeric	science	de-DE
International Journal of Biometeorology	Int J Biometeorol	0020-7128	1432-1254	springer-basic-author-date	author-date	science	en-US
Plant Reproduction	Plant Reprod	2194-7953	2194-7961	springer-basic-author-date	author-date	science	en-US
Mathematics of Control, Signals, and Systems	Math. Control Signals Syst.	0932-4194	1435-568X	springer-basic-brackets	numeric	science	en-US
Soft Computing	Soft Comput	1432-7643	1433-7479	springer-basic-author-date	author-date	science	en-US
e & i Elektrotechnik und Informationstechnik (German)	Elektrotech. Inftech.	0932-383X	1613-7620	springer-basic-brackets	numeric	science	de-DE
Wiener klinische Wochenschrift	Wien Klin Wochenschr	0043-5325	1613-7671	springer-vancouver-brackets	numeric	medicine	en-US
Supportive Care in Cancer	Support Care Cancer	0941-4355	1433-7339	springer-basic-brackets	numeric	science	en-US
Neural Computing and Applications	Neural Comput & Applic	0941-0643	1433-3058	springer-basic-brackets	numeric	science	en-US
Calculus of Variations and Partial Differential Equations	Calc. Var.	0944-2669	1432-0835	springer-mathphys-brackets	numeric	science	en-US
Multimedia Systems	Multimedia Systems	0942-4962	1432-1882	springer-mathphys-brackets	numeric	science	en-US
International Journal of Earth Sciences	Int J Earth Sci (Geol Rundsch)	1437-3254	1437-3262	springer-basic-author-date	author-date	science	en-US
Journal of Gastroenterology	J Gastroenterol	0944-1174	1435-5922	springer-vancouver-brackets	numeric	medicine	en-US
Journal of Anesthesia	J Anesth	0913-8668	1438-8359	springer-vancouver-brackets	numeric	medicine	en-US
Microsystem Technologies	Microsyst Technol	0946-7076	1432-1858	springer-basic-author-date	author-date	science	en-US
Standort (German)	Standort	0174-3635	1432-220X	springer-basic-author-date	author-date	science	de-DE
uwf UmweltWirtschaftsForum (German)	uwf	0943-3481	1432-2293	springer-basic-author-date	author-date	science	de-DE
Mycorrhiza	Mycorrhiza	0940-6360	1432-1890	springer-basic-author-date	author-date	science	en-US
Comparative Clinical Pathology	Comp Clin Pathol	1618-5641	1618-565X	springer-basic-author-date	author-date	science	en-US
European Spine Journal	Eur Spine J	0940-6719	1432-0932	springer-basic-brackets	numeric	science	en-US
European Journal of Orthopaedic Surgery & Traumatology	Eur J Orthop Surg Traumatol	1633-8065	1432-1068	springer-basic-brackets	numeric	science	en-US
Mathematische Semesterberichte (German)	Math Semesterber	0720-728X	1432-1815	springer-mathphys-brackets	numeric	science	de-DE
Acta Diabetologica	Acta Diabetol	0940-5429	1432-5233	springer-basic-brackets	numeric	science	en-US
Surgery Today	Surg Today	0941-1291	1436-2813	springer-vancouver-brackets	numeric	medicine	en-US
Few-Body Systems	Few-Body Syst	0177-7963	1432-5411	springer-mathphys-brackets	numeric	science	en-US
Rock Mechanics and Rock Engineering	Rock Mech Rock Eng	0723-2632	1434-453X	springer-basic-author-date	author-date	science	en-US
Microchimica Acta	Microchim Acta	0026-3672	1436-5073	springer-basic-brackets	numeric	science	en-US
Monatshefte für Mathematik	Monatsh Math	0026-9255	1436-5081	springer-mathphys-brackets	numeric	science	en-US
Plant Systematics and Evolution		0378-2697	2199-6881	springer-basic-author-date	author-date		en-US
Computing	Computing	0010-485X	1436-5057	springer-basic-brackets	numeric	science	en-US
Acta Neurochirurgica	Acta Neurochir	0001-6268	0942-0940	springer-basic-brackets	numeric	science	en-US
Journal of Neural Transmission	J Neural Transm	0300-9564	1435-1463	springer-basic-author-date	author-date	science	en-US
Meteorology and Atmospheric Physics	Meteorol Atmos Phys	0177-7971	1436-5065	springer-basic-author-date	author-date	science	en-US
Theoretical and Applied Climatology	Theor Appl Climatol	0177-798X	1434-4483	springer-basic-author-date	author-date	science	en-US
Archives of Virology	Arch Virol	0304-8608	1432-8798	springer-basic-brackets	numeric	science	en-US
Monatshefte für Chemie - Chemical Monthly	Monatsh Chem	0026-9247	1434-4475	springer-basic-brackets	numeric	science	en-US
Acta Mechanica	Acta Mech	0001-5970	1619-6937	springer-mathphys-brackets	numeric	science	en-US
Protoplasma	Protoplasma	0033-183X	1615-6102	springer-basic-author-date	author-date	science	en-US
Mineralogy and Petrology	Miner Petrol	0930-0708	1438-1168	springer-basic-author-date	author-date	science	en-US
Journal of Economics	J Econ	0931-8658	1617-7134	springer-basic-author-date	author-date	science	en-US
Stomatologie (German)		0946-3151	1613-7698	springer-basic-brackets	numeric		de-DE
Spektrum der Augenheilkunde (German)	Spektrum Augenheilkd.	0930-4282	1613-7523	springer-vancouver-brackets	numeric	medicine	de-DE
