Title	ISSN	EISSN	category-field	parent	documentation
Research in Dance social_science	1464-7893	1470-1111	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CRID20&page=instructions
Research in Science & Technological social_science	0263-5143	1470-1138	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CRST20&page=instructions
Studies in Continuing social_science	0158-037X	1470-126X	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CSCE20&page=instructions
Sex social_science	1468-1811	1472-0825	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CSED20&page=instructions
Sport, social_science and Society	1357-3322	1470-1243	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CSES20&page=instructions
Social Identities	1350-4630	1363-0296	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CSID20&page=instructions
Scandinavian Journal of social_scienceal Research	0031-3831	1470-1170	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CSJE20&page=instructions
School Leadership & Management	1363-2434	1364-2626	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CSLM20&page=instructions
Social Movement Studies	1474-2837	1474-2829	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CSMS20&page=instructions
Sexual and Relationship Therapy	1468-1994	1468-1749	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CSMT20&page=instructions
Social Semiotics	1035-0330	1470-1219	humanities	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CSOS20&page=instructions
Studying Teacher social_science	1742-5964	1742-5972	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CSTE20&page=instructions
Social Work social_science	0261-5479	1470-1227	medicine	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CSWE20&page=instructions
Teachers and Teaching	1354-0602	1470-1278	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CTAT20&page=instructions
Teaching social_science	1047-6210	1470-1286	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CTED20&page=instructions
Teaching in Higher social_science	1356-2517	1470-1294	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CTHE20&page=instructions
International Journal of Research & Method in social_science	1743-727X	1743-7288	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CWSE20&page=instructions
Asia Pacific Business Review	1360-2381	1743-792X	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=FAPB20&page=instructions
Business History	0007-6791	1743-7938	social_science	chicago-note-bibliography	http://www.tandfonline.com/action/authorSubmission?journalCode=FBSH20&page=instructions
Contemporary British History	1361-9462	1743-7997	humanities	chicago-note-bibliography	http://www.tandfonline.com/action/authorSubmission?journalCode=FCBH20&page=instructions
Democratization	1351-0347	1743-890X	political_science	chicago-note-bibliography	http://www.tandfonline.com/action/authorSubmission?journalCode=FDEM20&page=instructions
East European Jewish Affairs	1350-1674	1743-971X	humanities	chicago-note-bibliography	http://www.tandfonline.com/action/authorSubmission?journalCode=FEEJ20&page=instructions
Global Crime	1744-0572	1744-0580	social_science	chicago-note-bibliography	http://www.tandfonline.com/action/authorSubmission?journalCode=FGLC20&page=instructions
The International Journal of the History of Sport	0952-3367	1743-9035	political_science	chicago-note-bibliography	http://www.tandfonline.com/action/authorSubmission?journalCode=FHSP20&page=instructions
The Journal of Imperial and Commonwealth History	0308-6534	1743-9329	humanities	chicago-note-bibliography	http://www.tandfonline.com/action/authorSubmission?journalCode=FICH20&page=instructions
Immigrants & Minorities	0261-9288	1744-0521	social_science	chicago-note-bibliography	http://www.tandfonline.com/action/authorSubmission?journalCode=FIMM20&page=instructions
East European Politics	2159-9165	2159-9173	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=FJCS20&page=instructions
Journal of Development Studies	0022-0388	1743-9140	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=FJDS20&page=instructions
Journal of Israeli History	1353-1042	1744-0548	humanities	chicago-note-bibliography	http://www.tandfonline.com/action/authorSubmission?journalCode=FJIH20&page=instructions
Medicine, Conflict and Survival	1362-3699	1743-9396	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=FMCS20&page=instructions
The Journal of North African Studies	1362-9387	1743-9345	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=FNAS20&page=instructions
Soccer & Society	1466-0970	1743-9590	political_science	chicago-note-bibliography	http://www.tandfonline.com/action/authorSubmission?journalCode=FSAS20&page=instructions
Small Wars & Insurgencies	0959-2318	1743-9558	political_science	chicago-note-bibliography	http://www.tandfonline.com/action/authorSubmission?journalCode=FSWI20&page=instructions
Turkish Studies	1468-3849	1743-9663	political_science	chicago-note-bibliography	http://www.tandfonline.com/action/authorSubmission?journalCode=FTUR20&page=instructions
Archives of Animal Nutrition	1745-039X	1477-2817	biology	taylor-and-francis-council-of-science-editors-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=GAAN20&page=instructions
