publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name
Psychotherapy: Theory, Research, Practice, Training	0033-3204	1939-1536	2002	39	1	2010-12	47	4	http://content.apa.org/journals/pst		pst				Educational Publishing Foundation
Psychotherapy	0033-3204	1939-1536	2011-03	48	1				http://content.apa.org/journals/pst		pst				Educational Publishing Foundation
Qualitative Psychology	2326-3598	2326-3601	2013-08	1	S				http://content.apa.org/journals/qua		qua				Educational Publishing Foundation
Rehabilitation Psychology	0090-5550	1939-1544	1972	19	1	1979	26	4	http://content.apa.org/journals/rep		rep				Division 22 of the American Psychological Association
Rehabilitation Psychology	0090-5550	1939-1544	1982	27	1	1997	42	4	http://content.apa.org/journals/rep		rep				Springer Publishing
Rehabilitation Psychology	0090-5550	1939-1544	1998	43	1	2005-11	50	4	http://content.apa.org/journals/rep		rep				Educational Publishing Foundation
Rehabilitation Psychology	0090-5550	1939-1544	2006-02	51	1				http://content.apa.org/journals/rep		rep				American Psychological Association
Review of General Psychology	1089-2680	1939-1552	1997-03	1	1				http://content.apa.org/journals/gpr		gpr				Educational Publishing Foundation
Rorschachiana	1192-5604		1993	18	1	1993	18	1	http://content.apa.org/journals/ror		ror				Hogrefe & Huber Publishers
Rorschachiana	1192-5604	2151-206X	1994	19	1	2009	30	2	http://content.apa.org/journals/ror		ror				Hogrefe & Huber Publishers
Rorschachiana	1192-5604	2151-206X	2010	31	1				http://content.apa.org/journals/ror		ror				Hogrefe Publishing
Schizophrenia Bulletin	0586-7614	1745-1701	1969	1	1	2004	30	4	http://content.apa.org/journals/szb		szb				National Institute of Mental Health
Social Psychology	1864-9335	2151-2590	2008	39	1	2009	40	2	http://content.apa.org/journals/zsp		zsp				Hogrefe & Huber Publishers
Social Psychology	1864-9335	2151-2590	2009	40	3				http://content.apa.org/journals/zsp		zsp				Hogrefe Publishing
Spirituality in Clinical Practice	2326-4500	2326-4519	2013-08	1	S				http://content.apa.org/journals/scp		scp				Educational Publishing Foundation
Sport, Exercise, and Performance Psychology	2157-3905	2157-3913	2011-08	1	S				http://content.apa.org/journals/spy		spy				Educational Publishing Foundation
Swiss Journal of Psychology / Schweizerische Zeitschrift für Psychologie / Revue Suisse de Psychologie	1421-0185	1662-0879	1999-03	58	1	2011-12	70	4	http://content.apa.org/journals/sjp		sjp				Verlag Hans Huber
Swiss Journal of Psychology	1421-0185	1662-0879	2012-01	71	1				http://content.apa.org/journals/sjp		sjp				Verlag Hans Huber
The Canadian Psychologist	0008-4832		1950-11	1	1	1963-10	4a	4	http://content.apa.org/journals/cap		cap				Canadian Psychological Association
Canadian Psychologist/Psychologie canadienne	0008-4832		1964-01	5a	1	1974-10	15	4	http://content.apa.org/journals/cap		cap				Canadian Psychological Association
Canadian Psychological Review/Psychologie Canadienne	0318-2096		1975-01	16	1	1979-10	20	4	http://content.apa.org/journals/cap		cap				Canadian Psychological Association
Canadian Psychology/Psychologie canadienne	0708-5591	1878-7304	1980-01	21	1	2007-11	48	4	http://content.apa.org/journals/cap		cap				Canadian Psychological Association
Canadian Psychology/Psychologie canadienne	0708-5591	1878-7304	2008-02	49	1				http://content.apa.org/journals/cap		cap				Educational Publishing Foundation
The Journal of Abnormal Psychology	0145-2339		1906-04	1	1	1920-12	15	5-6	http://content.apa.org/journals/abn		abn				American Psychological Association
The Journal of Abnormal Psychology and Social Psychology	0145-2347		1921-04	16	1	1925-01	19	4	http://content.apa.org/journals/abn		abn				American Psychological Association
The Journal of Abnormal and Social Psychology	0096-851X		1925-04	20	1	1964-12	69	6	http://content.apa.org/journals/abn		abn				American Psychological Association
Journal of Abnormal Psychology	0021-843X	1939-1846	1965-02	70	1				http://content.apa.org/journals/abn		abn				American Psychological Association
The Psychological Review: Monograph Supplements	0096-9753		1896-02	1	2	1896-02	1	2	http://content.apa.org/journals/mon		mon				Macmillan & Company
The Psychological Review: Monograph Supplements	0096-9753		1896-10	1	3	1906-08	7	3	http://content.apa.org/journals/mon		mon				The Macmillan Company
The Psychological Review: Monograph Supplements	0096-9753		1907-01	8	1	1910-01	12	3	http://content.apa.org/journals/mon		mon				The Review Publishing Company
The Psychological Monographs	0096-9753		1910-04	12	4	1911-12	13	5	http://content.apa.org/journals/mon		mon				The Review Publishing Company
The Psychological Monographs	0096-9753		1912-02	14	1	1917	24	5	http://content.apa.org/journals/mon		mon				Psychological Review Company
